id,department,regulation,semester,subject_code,subject_name
1,Networks,R23,III-I,23CSN107,"Cryptography and Network Security"
2,Networks,R23,III-I,23CSN108,"Database Management Systems"
3,Networks,R23,III-I,23CSN109,"Network Programming"
4,Networks,R23,III-I,23PHY102,"Introduction to Quantum Technologies and Applications"
5,Networks,R23,III-I,23CSN205,"Database Management Systems Laboratory"
6,Networks,R23,III-I,23CSN206,"Network Programming Laboratory"
7,Networks,R23,III-I,23CSN603,"UI Design"
8,Networks,R23,III-I,23ENG901,"Technical Paper Writing and IPR"
9,Networks,R23,III-I,23CSN701,"Summer Internship I"
10,Networks,R23,III-I,"MOOC 1","Distributed Systems"
11,Networks,R23,III-I,"MOOC 2",PSOSC
12,Networks,R23,III-II,23CSN110,"Software Engineering"
13,Networks,R23,III-II,23CSN111,"Internetworking with TCP/IP"
14,Networks,R23,III-II,23CSN112,"Cloud Computing"
15,Networks,R23,III-II,23CSN401,"Image Processing (Professional Elective - II)"
16,Networks,R23,III-II,23CSN409,"Cyber Forensics (Professional Elective - III)"
17,Networks,R23,III-II,23MG3M01,"E – Business (Open Elective - II)"
18,Networks,R23,III-II,23MD3M01,"Research Methodology (Open Elective - II)"
19,Networks,R23,III-II,23CSN207,"Internetworking with TCP/IP Laboratory"
20,Networks,R23,III-II,23CSN208,"Cloud Computing Laboratory"
21,Networks,R23,III-II,23ENG601,"Soft Skills"
22,Networks,R23,III-II,23ECE501,"Tinkering Laboratory"
23,Networks,R23,III-II,23CSN801,Workshop
24,"AI & ML",R23,III-II,23CSM110,"Big Data Analytics"
25,"AI & ML",R23,III-II,23CSM111,"Cloud Computing for AI"
26,"AI & ML",R23,III-II,23CSM112,"Deep Learning"
27,"AI & ML",R23,III-II,23CSM405,"Automata Theory and Compiler Design (Professional Elective - II)"
28,"AI & ML",R23,III-II,23CSM406,"Reinforecement Learning (Professional Elective - III)"
29,"AI & ML",R23,III-II,23CSM207,"Big Data and Cloud Computing Laboratory"
30,"AI & ML",R23,III-II,23CSM208,"Deep Learning Laboratory"
31,"AI & ML",R23,III-II,23ECE501,"Tinkering Laboratory"
32,"AI & ML",R23,III-II,23CSM801,Workshop
33,"AI & ML",R23,III-II,23MD3M01,"Research Methodology (Open Elective - II)"
34,"AI & ML",R23,III-II,23MG3M01,"E – Business (Open Elective - II)"
35,"AI & ML",R23,III-II,23ENG601,"Soft Skills"
